unitID,name,abbreviation,factor,offset,category
1,Meter per Squaresecond,m/s\u00B2,1.0,0.0,1
2,Inch per Squaresecond,in/s\u00B2,0.0254,0.0,1
3,Gravity,g,9.80665,0.0,1
4,Degree,\u00B0,0.0174532925199432,0.0,2
5,Radian,rad,1.0,0.0,2
6,Grad,grad,0.9,0.0,2
7,Square Kilometer,km\u00B2,1000000.0,0.0,3
8,Hectare,ha,100000.0,0.0,3
9,Acre,ac,4046.8564224,0.0,3
10,Ares,a,100.0,0.0,3
11,Square Meter,m\u00B2,1.0,0.0,3
12,Square Centimeter,cm\u00B2,0.0001,0.0,3
13,Square Millimeter,mm\u00B2,0.000001,0.0,3
14,Square Mikrometer,\u00B5m\u00B2,0.000000000001,0.0,3
15,Square Nanometer,nm\u00B2,0.000000000000000001,0.0,3
16,Square Angstrom,\u212B\u00B2,0.00000000000000000001,0.0,3
17,Square Picometer,pm\u00B2,0.000000000000000000000001,0.0,3
18,Square Femtometer,fm\u00B2,0.000000000000000000000000000001,0.0,3
19,Square Inch,in\u00B2,0.00064516,0.0,3
20,Square Foot,ft\u00B2,0.09290304,0.0,3
21,Bit,b,1.0,0.0,4
22,Byte,B,8.0,0.0,4
23,Kilobyte,KB,8000.0,0.0,4
24,Megabyte,MB,8000000.0,0.0,4
25,Gigabyte,GB,8000000000.0,0.0,4
26,Terrabyte,TB,8000000000000.0,0.0,4
27,Kibibyte,KiB,8192.0,0.0,4
28,Mebibyte,MiB,8192000.0,0.0,4
29,Gibibyte,GiB,8192000000.0,0.0,4
30,Tebibyte,TiB,8192000000000.0,0.0,4
31,Elementary Charge,e-,0.00000000000000000016022,0.0,5
32,Coulomb,C,1.0,0.0,5
33,Millicoulomb,mC,0.001,0.0,5
34,Microcoulomb,\u00B5C,0.000001,0.0,5
35,Nanocoulomb,nC,0.000000001,0.0,5
36,Picocoulomb,pC,0.000000000001,0.0,5
37,Kiloampere,kA,1000.0,0.0,6
38,Ampere,A,1.0,0.0,6
39,Milliampere,mA,0.001,0.0,6
40,Microampere,\u00B5A,0.000001,0.0,6
41,Nanoampere,nA,0.000000001,0.0,6
42,Picoampere,pA,0.000000000001,0.0,6
43,Millijoule,mJ,0.001,0.0,7
44,Joule,J,1.0,0.0,7
45,Kilojoule,kJ,1000.0,0.0,7
46,Megajoule,MJ,1000000.0,0.0,7
47,Calory,cal,4.1868,0.0,7
48,Kilocalory,kcal,4186.8,0.0,7
49,Watt Second,W*s,1.0,0.0,7
50,Watt Hour,W*h,3600.0,0.0,7
51,Kilowatt Second,kW*s,1000.0,0.0,7
52,Kilowatt Hour,kW*h,3600000.0,0.0,7
53,Newton,N,1.0,0.0,8
54,Kilogram Force,kp,9.80665,0.0,8
55,Pound Force,lbf,4.4482216153,0.0,8
56,Kilometer,km,1000.0,0.0,9
57,Hectometer,hm,100.0,0.0,9
58,Meter,m,1.0,0.0,9
59,Decimeter,dm,0.1,0.0,9
60,Centimeter,cm,0.01,0.0,9
61,Millimeter,mm,0.001,0.0,9
62,Micrometer,\u00B5m,0.000001,0.0,9
63,Nanometer,nm,0.000000001,0.0,9
64,Angstrom,\u212B,0.0000000001,0.0,9
65,Picometer,pm,0.000000000001,0.0,9
66,Femtometer,fm,0.000000000000001,0.0,9
67,Inches,in,0.0254,0.0,9
68,Miles,mi,1609.344,0.0,9
69,Nautical Miles,nmi,1852.0,0.0,9
70,Feet,ft,0.30480,0.0,9
71,Yard,yd,0.91440,0.0,9
72,Light Year,l.y.,9460730000000000.0,0.0,9
73,Parsec,pc,30856780000000000.0,0.0,9
74,Pixel,px,0.000264583,0.0,9
75,Point,pt,0.0003527778,0.0,9
76,Pica,p,0.0042333333,0.0,9
77,Quad,em,0.0042175176,0.0,9
78,Candela per Square Meter,cd/m\u00B2,1.0,0.0,10
79,Candela per Square Cenitmeter,cd/cm\u00B2,10000.0,0.0,10
80,Candela per Square Inch,cd/in\u00B2,1550.0031,0.0,10
81,Candela per Square Foot,cd/ft\u00B2,10.7639104167,0.0,10
82,Lambert,L,3183.09886183,0.0,10
83,Footlambert,fL,3.4262590996,0.0,10
84,Lux,lm/m\u00B2,1.0,0.0,11
85,Phot,lm/cm\u00B2,10000.0,0.0,11
86,Footcandle,lm/ft\u00B2,10.7639104167,0.0,11
87,Lumen per Square Inch,lm/in\u00B2,1550.0031,0.0,11
88,Ton,t,1000.0,0.0,12
89,Kilogram,kg,1.0,0.0,12
90,Gram,g,0.001,0.0,12
91,Milligram,mg,0.000001,0.0,12
92,Microgram,\u00B5g,0.000000001,0.0,12
93,Nanogram,ng,0.000000000001,0.0,12
94,Picogram,pg,0.000000000000001,0.0,12
95,Femtogram,fg,0.000000000000000001,0.0,12
96,Ounce,oz,0.028,0.0,12
97,Pound,lb,0.45359237,0.0,12
98,Millipascal,mPa,0.001,0.0,13
99,Pascal,Pa,1.0,0.0,13
100,Hectopascal,hPa,100.0,0.0,13
101,Kilopascal,kPa,1000.0,0.0,13
102,Bar,bar,100000.0,0.0,13
103,Millibar,mbar,100.0,0.0,13
104,Torr,Torr,133.322368421,0.0,13
105,Pound per Square Inch,psi,6894.757293178,0.0,13
106,Pound per Square Foot,psf,47.88026,0.0,13
107,Atmosphere,atm,101325.0,0.0,13
108,Percentage,%,1.0,0.0,14
109,Per mille,\u2030,10.0,0.0,14
110,Basis Point,\u2031,100.0,0.0,14
111,Millimeter per Second,mm/s,0.001,0.0,15
112,Meter per Second,m/s,1.0,0.0,15
113,Kilometer per Hour,km/h,0.2777777778,0.0,15
114,Miles per Hour,mph,0.4472271914,0.0,15
115,Knot,kt,0.51444444444444,0.0,15
116,Mach,M,0.00293866995797,0.0,15
117,Kelvin,K,1.0,0.0,16
118,Celsius,\u00B0C,1.0,273.150,16
119,Fahrenheit,\u00B0F,0.555555555555555,459.670,16
120,Kelvin per Second,K/s,1.0,0.0,17
121,Kelvin per Minute,K/min,0.166666667,0.0,17
122,Kelvin per Hour,K/h,0.0002777778,0.0,17
123,Week,w,604800.0,0.0,18
124,Day,d,86400.0,0.0,18
125,Hour,h,3600.0,0.0,18
126,Minute,m,60.0,0.0,18
127,Second,s,1,0.0,18
128,Millisecond,ms,0.001,0.0,18
129,Microsecond,\u00B5s,0.000001,0.0,18
130,Nanosecond,ns,0.000000001,0.0,18
131,Picosecond,ps,0.000000000001,0.0,18
132,Femtosecond,fs,0.000000000000001,0.0,18
133,Newton Meter,Nm,1.0,0.0,19
134,Meter Kilogram,m kg,0.101971621,0.0,19
