license,permission
agpl-3.0,commercial-use
agpl-3.0,modifications
agpl-3.0,distribution
agpl-3.0,patent-use
agpl-3.0,private-use
apache-2.0,commercial-use
apache-2.0,modifications
apache-2.0,distribution
apache-2.0,patent-use
apache-2.0,private-use
bsd-2-clause,commercial-use
bsd-2-clause,modifications
bsd-2-clause,distribution
bsd-2-clause,private-use
bsd-3-clause,commercial-use
bsd-3-clause,modifications
bsd-3-clause,distribution
bsd-3-clause,private-use
bsl-1.0,commercial-use
bsl-1.0,modifications
bsl-1.0,distribution
bsl-1.0,private-use
cc0-1.0,commercial-use
cc0-1.0,modifications
cc0-1.0,distribution
cc0-1.0,private-use
epl-2.0,commercial-use
epl-2.0,distribution
epl-2.0,modifications
epl-2.0,patent-use
epl-2.0,private-use
gpl-2.0,commercial-use
gpl-2.0,modifications
gpl-2.0,distribution
gpl-2.0,private-use
gpl-3.0,commercial-use
gpl-3.0,modifications
gpl-3.0,distribution
gpl-3.0,patent-use
gpl-3.0,private-use
lgpl-2.1,commercial-use
lgpl-2.1,modifications
lgpl-2.1,distribution
lgpl-2.1,private-use
mit,commercial-use
mit,modifications
mit,distribution
mit,private-use
mpl-2.0,commercial-use
mpl-2.0,modifications
mpl-2.0,distribution
mpl-2.0,patent-use
mpl-2.0,private-use
unlicense,private-use
unlicense,commercial-use
unlicense,modifications
unlicense,distribution
